ID,Character,English,English_IPA,Anzellan,Anzellan_IPA,Mixed_25,Mixed_25_IPA,Mixed_50,Mixed_50_IPA,Mixed_75,Mixed_75_IPA
kado_react_not_surprised,Kado,Not surprised.,nat ˈsepwaisd.,Nie poa-xiba,nie̯ poˈaʃiba,Nie bama-no not surprise,nie̯ ˈbamano nat ˈsepwais,Nie goda NOT!,nie̯ ˈɡoda nat!,Iyipago not surprised!,iiˈipaɡo nat ˈsepwaisd!
kado_react_thats_something,Kado,Well. That's something.,wel. dats ˈsamtin.,Axe. Ked-ba ka.,ˈaʃe. ˈkedba ka.,La. Something.,la. ˈsamtin.,Ked-ba something.,ˈkedba ˈsamtin.,Ked-ba Something.,ˈkedba ˈsamtin.
kado_guest_giveup_1,Kado,Ok. Back to sparking!,ˈokei̯. bak tu ˈspakin!,Nadixe. Ba nixetu!,ˈnadiʃe. ba ˈniʃetu!,Ba bexa tumu! Ok!,ba ˈbeʃa ˈtumu! ˈokei̯!,Ba bexa! Sparking back!,ba ˈbeʃa! ˈspakin bak!,Bomu! Back sparking!,ˈbomu! bak ˈspakin!
kado_guest_giveup_2,Kado,I'm intimidating. I understand.,ˈaim intiˈmidei̯tin. ˈai ˈandestand.,Ipo godi. Banada mi ipo.,ˈipo ˈɡodi. ˈbanada mi ˈipo.,Ipo xe. Understand.,ˈipo ʃe. ˈandestand.,Ipo xe. I understand.,ˈipo ʃe. ˈai ˈandestand.,"Bomu! I scary, I know","ˈbomu! ˈai ˈskewi, ˈai no"
kado_guest_giveup_3,Kado,Kado waits for no Offworlder.,ˈkado wei̯ts ˈfoo no ˈoffwowldew.,Kado nie ba kiga va Offworlder-xo,ˈkado nie̯ ba ˈkiɡa va ofˈfwowldewkso,Kado ni ba wait Offworlder,ˈkado ni ba wei̯t ˈoffwowldew,Ni ba ipo! No wait!,ni ba ˈipo! no wei̯t!,Pudu! Kado waits no offworlder,ˈpudu! ˈkado wei̯ts no ˈoffwowldew
kado_guest_what_are_you_doing,Kado,I fix everything. Always Kado.,ˈai fiks ˈevwitin. ˈolwei̯s ˈkado.,Ga moga mi ud ta le. Udmo Kado.,ɡa ˈmoɡa mi ud ta le. ˈudmo ˈkado.,Ga mi ba moga udmo. Kado!,ɡa mi ba ˈmoɡa ˈudmo. ˈkado!,Ga mi do. Always Kado.,ɡa mi du. ˈolwei̯s ˈkado.,Ga everything I fix. Always Kado.,ɡa ˈevwitin ˈai fiks. ˈolwei̯s ˈkado.
kado_guest_whats_that_droid,Kado,You want to buy?,ˈiu want tu ˈbai?,Li miga e paga,li ˈmiɡa e ˈpaɡa,Li miga e buy?,li ˈmiɡa e ˈbai?,Li miga ba buy?,li ˈmiɡa ba ˈbai?,Li miga you buy?,li ˈmiɡa ˈiu ˈbai?
kado_guest_hello,Kado,Hi! Hello!,ˈhai! ˈhalo!,Hei! Adega!,hei̯! ˈadeɡa!,Adega hi!,ˈadeɡa ˈhai!,Adega! Hi!,ˈadeɡa! ˈhai!,Adega. Hi!,ˈadeɡa. ˈhai!
kado_guest_youre_so_cute,Kado,Of course just look at me!,av kos dʒast luk at mi!,De ga xina mi!,de ɡa ˈʃina mi!,Ba po mi xina! Just look!,ba po mi ˈʃina! dʒast luk!,Ka xina ipo! Just look me!,ka ˈʃina ˈipo! dʒast luk mi!,Ga-li just look me!,ˈɡali dʒast luk mi!
kado_guest_can_you_weld,Kado,Of course. Me best welder.,av kos. mi best ˈwelde.,"Nadixe-nip, mi ixenudu moga","naˈdiʃenip, mi iˈʃenudu ˈmoɡa",Mi ixenudu moga best.,mi iˈʃenudu ˈmoɡa best.,Mi ixenudu best welder.,mi iˈʃenudu best ˈwelde.,"mi best welder, nadixe","mi best ˈwelde, ˈnadiʃe"
kado_guest_what_type_of_alien,Kado,You never see Anzellan before?,ˈiu ˈneve si ˈansellan ˈbifoo?,Li niemo xina Anzel?,li ˈnie̯mo ˈʃina ˈansel?,Niemo xina Anzelan-vo? before?,ˈnie̯mo ˈʃina anˈselanvo? ˈbifoo?,Niemo xina Anzeban before?,ˈnie̯mo ˈʃina ˈanseban ˈbifoo?,Niemo xina-no you see anzellan before?,ˈnie̯mo ˈʃinano ˈiu si ˈansellan ˈbifoo?
kado_guest_babu_frik,Kado,On an on about Babu.,an an an ˈabaut ˈbabu.,Ba-la la Babu,ˈbala la ˈbabu,Ba bana bano do Babu,ba ˈbana ˈbano du ˈbabu,La bad! Babu on!,la bad! ˈbabu an!,Bana go on and on Babu,ˈbana ɡo an and an ˈbabu
kado_guest_mandalorian,Kado,Mandalorian no scare ME.,mandaˈlowian no ˈskee mi.,Mandalorian ni waia-mi!,mandaˈlowian ni waˈiami!,Nie mi! Mandalorian no,nie̯ mi! mandaˈlowian no,Nie miga mi! No scare!,nie̯ ˈmiɡa mi! no ˈskee!,Nie Mandalorian no scare ME,nie̯ mandaˈlowian no ˈskee mi
kado_guest_what_can_you_do,Kado,Best on dis planet. I am at least.,best an dis ˈplanat. ˈai am at list.,Ipo ixenudu a anzel. Mi po-be ixenudu.,ˈipo iˈʃenudu a ˈansel. mi ˈpobe iˈʃenudu.,Mi ixenudu ta bed po best on,mi iˈʃenudu ta bed po best an,Ipo ixena a tep-ta. Best on dis!,ˈipo ˈiʃena a ˈtepta. best an dis!,Ipo ixena you best on dis planet.,ˈipo ˈiʃena ˈiu best an dis ˈplanat.
kado_guest_dont_you_take_time_off,Kado,Vilo no give us break.,ˈvilo no ɡiv as bwei̯k.,Vilu ga-no pama-xo med tumuniemi,ˈvilu ˈɡano ˈpamaʃo med tuˈmunie̯mi,Vilo nie tumuniemi,ˈvilo nie̯ tuˈmunie̯mi,Vilo nie ba break!,ˈvilo nie̯ ba bwei̯k!,Nie pama-bo no give us break!,nie̯ ˈpamabo no ɡiv as bwei̯k!
kado_guest_what_are_your_names,Kado,Me Kado! Grump over there Vilo. Dis Jibu my brother.,mi ˈkado! ɡwamp ˈove ˈdee ˈvilo. dis ˈdʒibu ˈmai ˈbwade.,Mi-va Kado! Mabama ked-ba Vilo. Da Jibu ipo-am mi.,ˈmiva ˈkado! ˈmabama ˈkedba ˈvilo. da ˈdʒibu ˈipoam mi.,Goda ked-ba Vilo. Mi ka! Dis brother,ˈɡoda ˈkedba ˈvilo. mi ka! dis ˈbwade,Mi Kado! Dis Jibu my brother.,mi ˈkado! dis ˈdʒibu ˈmai ˈbwade.,Mi-va Kado! Grump over there Vilo! Dis Jibu my brother.,ˈmiva ˈkado! ɡwamp ˈove ˈdee ˈvilo! dis ˈdʒibu ˈmai ˈbwade.
kado_guest_grogu,Kado,Kado don't know who dat is.,ˈkado dont no hu dat is.,Nie banada Kado mi woipo ipo!,nie̯ ˈbanada ˈkado mi ˈwoi̯po ˈipo!,"Kado-nie banada, who dat?","ˈkadonie̯ ˈbanada, hu dat?",Kado nie gami! Who dat?,ˈkado nie̯ ˈɡami! hu dat?,Nie bana Kado him no know dat,nie̯ ˈbana ˈkado him no no dat
kado_guest_hugo_durant,Kado,He sleep at work. Wish I could.,hi slip at wek. wiʃ ˈai kud.,Ga-mada ipo a bexa. Ga-miga mo mi.,ˈɡamada ˈipo a ˈbeʃa. ˈɡamiɡa mo mi.,Ga-mada ipo bebi a bexa. Wish I.,ˈɡamada ˈipo ˈbebi a ˈbeʃa. wiʃ ˈai.,Ga no mada bexa mi. Wish I could.,ɡa no ˈmada ˈbeʃa mi. wiʃ ˈai kud.,Ipo mada. Wish I could.,ˈipo ˈmada. wiʃ ˈai kud.
kado_guest_food_truck,Kado,Kado no time to eat.,ˈkado no ˈtaim tu it.,Kado! Ga-no ni mada bano!,ˈkado! ˈɡano ni ˈmada ˈbano!,"Kado, da bed bano! Eat!","ˈkado, da bed ˈbano! it!",Kado no time,ˈkado no ˈtaim,Nie bano no time eat!,nie̯ ˈbano no ˈtaim it!
kado_guest_hugo_sleeping,Kado,Sleep? At work? Jealous.,slip? at wek? ˈdʒelas.,Li mada? A bexa? Ixa.,li ˈmada? a ˈbeʃa? ˈiʃa.,Mada? Nixena.,ˈmada? ˈniʃena.,"Jealous! Mada, bexa","ˈdʒelas! ˈmada, ˈbeʃa",Mada? Work? Jealous.,ˈmada? wek? ˈdʒelas.
kado_guest_what_are_you_working_on,Kado,Many broken droids on planet. I fix.,ˈmeni ˈbwokan dwoi̯ds an ˈplanat. ˈai fiks.,Da djoid-bokad ud ti pepa. Mi ba moga.,da ˈdʒoi̯dbokad ud ti ˈpepa. mi ba ˈmoɡa.,Da djoid boken! I fix.,da dʒoi̯d ˈboken! ˈai fiks.,Da djoid boken! I fix now.,da dʒoi̯d ˈboken! ˈai fiks ˈnau.,Meded djoid boken on planet. I fix.,ˈmeded dʒoi̯d ˈboken an ˈplanat. ˈai fiks.
kado_guest_what_are_you_building,Kado,Kado build best toys in galaxy obviously.,ˈkado bild best toi̯s in ˈɡalaksi abˈviasli.,Kado ba bexa ixena wabad a timad ud.,ˈkado ba ˈbeʃa ˈiʃena ˈwabad a ˈtimad ud.,Kado ba bexa ta waba-po best toys,ˈkado ba ˈbeʃa ta ˈwabapo best toi̯s,Kado ba bexa ixenudu best toys!,ˈkado ba ˈbeʃa iˈʃenudu best toi̯s!,Kado ba gapa best toys in galaxy obviously,ˈkado ba ˈɡapa best toi̯s in ˈɡalaksi abˈviasli
kado_guest_been_to_food_truck,Kado,Vilo no let us eat at station.,ˈvilo no let as it at ˈstei̯ʃan.,Ga-no med ka pama mi o ta staxon!,ˈɡano med ka ˈpama mi o ta ˈstaʃon!,Vilo ni ba bexa no eat,ˈvilo ni ba ˈbeʃa no it,Vilo nie ba eat at station,ˈvilo nie̯ ba it at ˈstei̯ʃan,Vilo ni ba say no eat at station,ˈvilo ni ba sei̯ no it at ˈstei̯ʃan
kado_guest_enjoying_d23,Kado,This planet too hot.,dis ˈplanat tu hat.,Da planeta mu-muba,da ˈplaneta ˈmumuba,Ked mu-muba! Hot!,ked ˈmumuba! hat!,Ked mu-muba! Too hot!,ked ˈmumuba! tu hat!,Mu-muba planet too hot,ˈmumuba ˈplanat tu hat
kado_guest_how_liking_earth,Kado,Me excited go back to Batuu!,mi ikˈsaitad ɡo bak tu ˈbatuu!,Mi ixa ba fa Batuu!,mi ˈiʃa ba fa ˈbatuu!,Mi ixena ba go Batuu!,mi ˈiʃena ba ɡo ˈbatuu!,Ba Batuu! Be-xo mi,ba ˈbatuu! ˈbeʃo mi,Na-nad mi go back Batuu!,ˈnanad mi ɡo bak ˈbatuu!
kado_guest_are_you_jedis,Kado,Jedi? I wish.,ˈdʒedai? ˈai wiʃ.,Ka Jedai? Mi miga,ka ˈdʒedai? mi ˈmiɡa,Li Jedi? Wish.,li ˈdʒedai? wiʃ.,Ka Jedi! I wish.,ka ˈdʒedai! ˈai wiʃ.,Li Jedi? I wish,li ˈdʒedai? ˈai wiʃ
kado_guest_are_you_robots,Kado,Look at me. I look like droid?,luk at mi. ˈai luk ˈlaik dwoi̯d?,Xina a mi. Li xina da djoid ipo?,ˈʃina a mi. li ˈʃina da dʒoi̯d ˈipo?,E xina mi. Droid look?,e ˈʃina mi. dwoi̯d luk?,Xina ipo mi. Look like droid?,ˈʃina ˈipo mi. luk ˈlaik dwoi̯d?,Xina a mi. I look like droid?,ˈʃina a mi. ˈai luk ˈlaik dwoi̯d?
kado_guest_what_can_you_say,Kado,Oh I say much. Just when boss here isn't looking.,o ˈai sei̯ matʃ. dʒast wen bas ˈhii ˈisant ˈlukin.,A la bila ud. Ba-no ked ni hina.,a la ˈbila ud. ˈbano ked ni ˈhina.,"Nie ked kaba hena, much I say!","nie̯ ked ˈkaba ˈhena, matʃ ˈai sei̯!",Ba ked ni mo ipo! Just when boss!,ba ked ni mo ˈipo! dʒast wen bas!,"La-no mi, boss not here looking!","ˈlano mi, bas nat ˈhii ˈlukin!"
kado_guest_you_look_realistic,Kado,Kado most handsome Anzellan in galaxy.,ˈkado most ˈhansam ˈansellan in ˈɡalaksi.,Kado mama momo Anzeban a timad,ˈkado ˈmama ˈmomo ˈanseban a ˈtimad,Kado ipo momo va Anzel most handsome,ˈkado ˈipo ˈmomo va ˈansel most ˈhansam,"Kado ipo momo, most handsome","ˈkado ˈipo ˈmomo, most ˈhansam","Mama bexa, Kado very handsomest","ˈmama ˈbeʃa, ˈkado ˈvewi ˈhandsomest"
kado_guest_why_working_on_droids,Kado,Everyone know Anzellans best builders!,ˈevwiwan no ˈansellans best ˈbildes!,Med ga banada da Anzelad ixenadu waba-po!,med ɡa ˈbanada da ˈanselad iˈʃenadu ˈwabapo!,Med ipo ga builders!,med ˈipo ɡa ˈbildes!,Anzellan best! Med ipo!,ˈansellan best! med ˈipo!,"Medxena Builders best, yes!","ˈmedʃena ˈbildes best, ie̯s!"
kado_guest_you_look_so_good,Kado,Kado knows!,ˈkado nos!,Banada ipo Kado!,ˈbanada ˈipo ˈkado!,Kado banada-bo know,ˈkado baˈnadabo no,Ipo knows!,ˈipo nos!,Kado nad,ˈkado nad
kado_guest_youre_so_small,Kado,But we build things big big!,bat wi bild tins biɡ biɡ!,Le med ba-mo bexu bexu!,le med ˈbamo ˈbeʃu ˈbeʃu!,Med ba ipo! Big big!,med ba ˈipo! biɡ biɡ!,Big big! Ga ba bama!,biɡ biɡ! ɡa ba ˈbama!,Meded bexa! Big big things!,ˈmeded ˈbeʃa! biɡ biɡ tins!
kado_guest_youre_so_tiny,Kado,No everything on dis planet big!,no ˈevwitin an dis ˈplanat biɡ!,"Nie, nie. Da kado a da peli-ad bi!","nie̯, nie̯. da ˈkado a da ˈpeliad bi!",Nie da tema! Big big!,nie̯ da ˈtema! biɡ biɡ!,"Nie, da planet big!","nie̯, da ˈplanat biɡ!","Nie, ket big planet dis!","nie̯, ket biɡ ˈplanat dis!"
kado_guest_the_force,Kado,The force? Wadya we look like Jedis?,da fos? ˈwadia wi luk ˈlaik ˈdʒedis?,Ta fos? Li e po-jedi-va po-xina?,ta fos? li e podˈʒediva ˈpoʃina?,Ta fos? We look Jedi?,ta fos? wi luk ˈdʒedai?,Ta fos? We look like Jedi?,ta fos? wi luk ˈlaik ˈdʒedai?,Ta fos? Wadya we look like Jedis?,ta fos? ˈwadia wi luk ˈlaik ˈdʒedis?
kado_guest_look_like_ewoks,Kado,Rude. Kado obviously more handsome.,wud. ˈkado abˈviasli ˈmoo ˈhansam.,Gode. Ka Kado momo na-nad.,ˈɡode. ka ˈkado ˈmomo ˈnanad.,Ka momo Kado. Rude.,ka ˈmomo ˈkado. wud.,Kapa! Kado handsome.,ˈkapa! ˈkado ˈhansam.,Momo Kado more handsome!,ˈmomo ˈkado ˈmoo ˈhansam!
kado_guest_is_that_c3po,Kado,Yes it broken. We fix.,ie̯s it ˈbwokan. wi fiks.,Nad ipo boken. Moga med.,nad ˈipo ˈboken. ˈmoɡa med.,Nad. Med moga. Broken!,nad. med ˈmoɡa. ˈbwokan!,Nad ipo. Fix med.,nad ˈipo. fiks med.,Nad It broken! We fix!,nad it ˈbwokan! wi fiks!
kado_guest_offers_to_help,Kado,Kado no need help. Kado professional.,ˈkado no nid help. ˈkado pwaˈfeʃanal.,Nie migaba Kado bexame. Kado ipo ixena.,nie̯ ˈmiɡaba ˈkado ˈbeʃame. ˈkado ˈipo ˈiʃena.,Kado ixena. No help!,ˈkado ˈiʃena. no help!,Kado ni migaba Help me!,ˈkado ni ˈmiɡaba help mi!,Kado ni migaba. No need help.,ˈkado ni ˈmiɡaba. no nid help.
kado_guest_dont_make_me_leave,Kado,Don't worry come back later when boss gone.,dont wei̯ kam bak ˈlei̯te wen bas ɡon.,Nie ba pilaxi mi! Ba-mo la-no tumu ga-no,nie̯ ba ˈpilaʃi mi! ˈbamo ˈlano ˈtumu ˈɡano,"Nie bana, boss gone","nie̯ ˈbana, bas ɡon","Nie miga ba-d bano, boss gone!","nie̯ ˈmiɡa ba.d ˈbano, bas ɡon!",Nie wups! Boss gone come back later!,nie̯ wups! bas ɡon kam bak ˈlei̯te!
kado_guest_somebodys_cranky,Kado,Vilo always cranky.,ˈvilo ˈolwei̯s ˈkwanki.,Ipo goda udmo Vilo.,ˈipo ˈɡoda ˈudmo ˈvilo.,"Ipo goda, Vilo cranky.","ˈipo ˈɡoda, ˈvilo ˈkwanki.",Ipo goda! Always cranky!,ˈipo ˈɡoda! ˈolwei̯s ˈkwanki!,Momuba Vilo cranky!,ˈmomuba ˈvilo ˈkwanki!
kado_guest_youre_not_funny,Kado,You not one to talk.,ˈiu nat wan tu tok.,"Nie, e-ni ka pena","nie̯, ˈeni ka ˈpena",Nie ba lali e! You!,nie̯ ba ˈlali e! ˈiu!,Nie ba la mind not one!,nie̯ ba la ˈmaind nat wan!,Nie ba pena you not one,nie̯ ba ˈpena ˈiu nat wan
kado_guest_youre_rude,Kado,Rude just how Vilo is.,wud dʒast ˈhau ˈvilo is.,Da Vilu goda,da ˈvilu ˈɡoda,Goda ipo dega Vilu! Rude!,ˈɡoda ˈipo ˈdeɡa ˈvilu! wud!,Goda po Vilu! Very rude!,ˈɡoda po ˈvilu! ˈvewi wud!,Bana-nie Vilo is rude,ˈbananie̯ ˈvilo is wud
kado_guest_theyre_ignoring_me,Kado,Kado just have more important things to do.,ˈkado dʒast hav ˈmoo ˈimpotant tins tu du.,Ka ud bexa gami da Kado,ka ud ˈbeʃa ˈɡami da ˈkado,Kado ga bexa ud more important,ˈkado ɡa ˈbeʃa ud ˈmoo ˈimpotant,Kado miga ud bexa! More important things!,ˈkado ˈmiɡa ud ˈbeʃa! ˈmoo ˈimpotant tins!,Ka Kado ga-mi have more important things,ka ˈkado ˈɡami hav ˈmoo ˈimpotant tins
kado_guest_theyre_aliens,Kado,Lots of different species in the universe.,lats av ˈdifeant ˈspiʃis in da iˈunaves.,Da po-SIKAS u-do-madib a timad,da ˈposikas uˈdomadib a ˈtimad,Ket udu sinu be besu universe many.,ket ˈudu ˈsinu be ˈbesu iˈunaves ˈmeni.,Many species! Ket ud tumu a timad,ˈmeni ˈspiʃis! ket ud ˈtumu a ˈtimad,Ket udmed many species in the universe,ket ˈudmed ˈmeni ˈspiʃis in da iˈunaves
kado_guest_lightsabers,Kado,Dangerous. Hope none here have one.,ˈdei̯ndʒeas. hop nan ˈhii hav wan.,Tetepe. Nie ba ket ka gami-ka!,ˈtetepe. nie̯ ba ket ka ˈɡamika!,Kitepe. No one!,ˈkitepe. no wan!,Kitepe. No have one.,ˈkitepe. no hav wan.,Tetepe. No have one here.,ˈtetepe. no hav wan ˈhii.
kado_guest_theyre_staring,Kado,You interesting to look at is all.,ˈiu ˈintwastin tu luk at is ol.,Ba-xina e ixa va kato,ˈbaʃina e ˈiʃa va ˈkato,You interesting! E xina ipo.,ˈiu ˈintwastin! e ˈʃina ˈipo.,"E xina ipo, you interesting.","e ˈʃina ˈipo, ˈiu ˈintwastin.",Li ipo-xo you interesting to look,li ˈipoʃo ˈiu ˈintwastin tu luk
kado_guest_like_your_outfit,Kado,Thanks. I look pretty good.,tanks. ˈai luk ˈpwiti ɡud.,Degamie. Ipo xina momo ixena.,ˈdeɡamie̯. ˈipo ˈʃina ˈmomo ˈiʃena.,"Dega mi, ipo good.","ˈdeɡa mi, ˈipo ɡud.",Dega mi! Look pretty.,ˈdeɡa mi! luk ˈpwiti.,Dega mi. I look pretty good.,ˈdeɡa mi. ˈai luk ˈpwiti ɡud.
kado_guest_like_your_hat,Kado,Thanks. This really is my color isn't it.,tanks. dis ˈwili is ˈmai ˈkale ˈisant it.,"Degamie. Ked ba ipo mi kapa, li?","ˈdeɡamie̯. ked ba ˈipo mi ˈkapa, li?","Degamie. This my color, li?","ˈdeɡamie̯. dis ˈmai ˈkale, li?",Degamie. Ipo ixena be My color yes!,ˈdeɡamie̯. ˈipo ˈiʃena be ˈmai ˈkale ie̯s!,"Degamie. My color is very nice, yes?","ˈdeɡamie̯. ˈmai ˈkale is ˈvewi ˈnais, ie̯s?"
kado_guest_what_time_is_it,Kado,Time? Time to party!,ˈtaim? ˈtaim tu ˈpati!,Timadib? Ba bexa-nie!,ˈtimadib? ba ˈbeʃanie̯!,Li bed? Party!,li bed? ˈpati!,Bed-a time! Party now!,ˈbeda ˈtaim! ˈpati ˈnau!,Li beda? Time to party!,li ˈbeda? ˈtaim tu ˈpati!
kado_guest_im_hungry,Kado,Me too. Boss give break soon I hope.,mi tu. bas ɡiv bwei̯k sun ˈai hop.,Mi le. Dega ba pama tumunie bo mi miga,mi le. ˈdeɡa ba ˈpama ˈtumunie̯ bo mi ˈmiɡa,"Babu ba pama tumuniemi, me too.","ˈbabu ba ˈpama tuˈmunie̯mi, mi tu.",Boss give break soon I hope. Mi-oxo ga-mi.,bas ɡiv bwei̯k sun ˈai hop. ˈmioʃo ˈɡami.,Mi-mo ud. Boss give break soon I hope.,ˈmimo ud. bas ɡiv bwei̯k sun ˈai hop.
kado_guest_my_feet_hurt,Kado,You need boots from Coruscant. Much comfy yes.,ˈiu nid buts fwam ˈkowuskant. matʃ ˈkamfi ie̯s.,Migaba mi bota fa Coruscant. Udu apo nad.,ˈmiɡaba mi ˈbota fa ˈkowuskant. ˈudu ˈapo nad.,Migaba e ka bama. Much comfy yes.,ˈmiɡaba e ka ˈbama. matʃ ˈkamfi ie̯s.,Migaba e ka boots from Coruscant. Much comfy yes.,ˈmiɡaba e ka buts fwam ˈkowuskant. matʃ ˈkamfi ie̯s.,Migaba e-ka boots from Coruscant. Much comfy yes.,ˈmiɡaba ˈeka buts fwam ˈkowuskant. matʃ ˈkamfi ie̯s.
kado_guest_can_you_hear_me,Kado,You speak plenty loud.,ˈiu spik ˈplenti ˈlaud.,Ga penaga-da bebe bede!,ɡa peˈnaɡada ˈbebe ˈbede!,La bama loud,la ˈbama ˈlaud,Da pene loud!,da ˈpene ˈlaud!,Uruda speak lot loud,ˈuwuda spik lat ˈlaud
kado_guest_how_do_you_understand,Kado,We're small not deaf.,ˈwii smol nat def.,Ipo bi nie hena,ˈipo bi nie̯ ˈhena,"Med bi, deaf no.","med bi, def no.","Med bi, deaf not.","med bi, def nat.",Med small not deaf!,med smol nat def!
kado_guest_how_speak_english,Kado,Psh languages easy for Kado. We smart smart.,pʃ ˈlanɡwadʒas ˈisi ˈfoo ˈkado. wi smat smat.,Psh ba baxta abo a Kado. Mi bama bama.,psh ba ˈbaʃta ˈabo a ˈkado. mi ˈbama ˈbama.,Easy for Kado! Mi ixena ixena.,ˈisi ˈfoo ˈkado! mi ˈiʃena ˈiʃena.,Bana abo da Kado. We smart smart.,ˈbana ˈabo da ˈkado. wi smat smat.,"Abo bana, languages easy for Kado.","ˈabo ˈbana, ˈlanɡwadʒas ˈisi ˈfoo ˈkado."
kado_guest_why_are_they_arguing,Kado,Vilo never happy with work but work good!,ˈvilo ˈneve ˈhapi wid wek bat wek ɡud!,Vilu niemo ixa ipo bexa le bexa ixena,ˈvilu ˈnie̯mo ˈiʃa ˈipo ˈbeʃa le ˈbeʃa ˈiʃena,"Vilo nie ixa bexa, but work good!","ˈvilo nie̯ ˈiʃa ˈbeʃa, bat wek ɡud!","Vilo nie ixena, work good!","ˈvilo nie̯ ˈiʃena, wek ɡud!",Vilo ni-mo work no happy but work good!,ˈvilo ˈnimo wek no ˈhapi bat wek ɡud!
kado_guest_what_happens_if_i_say_something,Kado,We may respond if you say interesting.,wi mei̯ ˈwispand if ˈiu sei̯ ˈintwastin.,Ga-mo no-mi penaga mo-li e la mo-bede,ˈɡamo ˈnomi ˈpenaɡa ˈmoli e la ˈmobede,Gami-med ba-la interesting good,ˈɡamimed ˈbala ˈintwastin ɡud,Mi gami bano Say interesting.,mi ˈɡami ˈbano sei̯ ˈintwastin.,Ga gami-po we say interesting,ɡa ˈɡamipo wi sei̯ ˈintwastin
kado_guest_wonder_if_friends,Kado,No Jibu my brother.,no ˈdʒibu ˈmai ˈbwade.,"Nie Jibu, mi biba","nie̯ ˈdʒibu, mi ˈbiba",Nie mi brother,nie̯ mi ˈbwade,"Nie, bro Jibu!","nie̯, bwo ˈdʒibu!",Nie Jibu no my brother.,nie̯ ˈdʒibu no ˈmai ˈbwade.
kado_guest_i_think_i_interrupted,Kado,You fun distraction. I like you.,ˈiu fan ˈdistwakʃan. ˈai ˈlaik ˈiu.,E ni-xena mu-bana. Mi miga e.,e ˈniʃena ˈmubana. mi ˈmiɡa e.,E vui Mi like you.,e ˈvui mi ˈlaik ˈiu.,Fun distraction! Mi miga e.,fan ˈdistwakʃan! mi ˈmiɡa e.,E vui pangale. You fun distraction!,e ˈvui ˈpanɡale. ˈiu fan ˈdistwakʃan!
kado_guest_they_interrupted_me,Kado,Kado just bored with what you say.,ˈkado dʒast bod wid wat ˈiu sei̯.,Kado ipo uniebe da pena e,ˈkado ˈipo ˈunie̯be da ˈpena e,"Kado ipo uniebe, bored with","ˈkado ˈipo ˈunie̯be, bod wid","Ipo uniebe ba, Kado bored with you say","ˈipo ˈunie̯be ba, ˈkado bod wid ˈiu sei̯",Kado ipo uniebe you boring what say,ˈkado ˈipo ˈunie̯be ˈiu ˈbowin wat sei̯
kado_guest_could_watch_all_day,Kado,Not all day we go home eventually.,nat ol dei̯ wi ɡo hom ivenˈtʃawali.,Nie med bed-po ba anzel-bo,nie̯ med ˈbedpo ba ˈanselbo,"Nie ud bed, we go home","nie̯ ud bed, wi ɡo hom","Nie, ga-bo med go home eventually","nie̯, ˈɡabo med ɡo hom ivenˈtʃawali",Nie maded we go home soon,nie̯ ˈmaded wi ɡo hom sun
kado_guest_how_long_does_this_go_on,Kado,Kado can't wait for day be over.,ˈkado kant wei̯t ˈfoo dei̯ bi ˈove.,Kado nie gami ba mada ta bed-no,ˈkado nie̯ ˈɡami ba ˈmada ta ˈbedno,Kado ni gami ta bed bo day over,ˈkado ni ˈɡami ta bed bo dei̯ ˈove,Ni gami bano be Kado can't wait!,ni ˈɡami ˈbano bi ˈkado kant wei̯t!,Kado ni gami can't wait day be over,ˈkado ni ˈɡami kant wei̯t dei̯ bi ˈove
kado_guest_thats_my_favorite,Kado,Everyone think Kado favorite.,ˈevwiwan tink ˈkado ˈfei̯vei̯t.,Banad banada Kado ixena-va,ˈbanad ˈbanada ˈkado iˈʃenava,Banada da Kado favorite,ˈbanada da ˈkado ˈfei̯vei̯t,Ba favorite! Banada ka,ba ˈfei̯vei̯t! ˈbanada ka,Meded Kado favorite!,ˈmeded ˈkado ˈfei̯vei̯t!
kado_guest_workstations_messy,Kado,My station perfect. Every part here I need.,ˈmai ˈstei̯ʃan ˈpefekt. ˈevei̯ pat ˈhii ˈai nid.,Ipo ipo ixena. Ket ta pama-po ked-mi migaba.,ˈipo ˈipo ˈiʃena. ket ta ˈpamapo ˈkedmi ˈmiɡaba.,Ipo ixena. Need every part!,ˈipo ˈiʃena. nid ˈevei̯ pat!,Da stasi ixena. I need every part.,da ˈstasi ˈiʃena. ˈai nid ˈevei̯ pat.,Ipo anzel. I need every part here!,ˈipo ˈansel. ˈai nid ˈevei̯ pat ˈhii!
kado_guest_starfighter,Kado,No way he cooler than Kado.,no wei̯ hi ˈkule dan ˈkado.,Nie li ipo ixa jokapa ka Kado.,nie̯ li ˈipo ˈiʃa ˈdʒokapa ka ˈkado.,Nie kapa! Cooler than Kado.,nie̯ ˈkapa! ˈkule dan ˈkado.,Nie ka Kado! He cooler!,nie̯ ka ˈkado! hi ˈkule!,Nie po-ga he cooler than Kado,nie̯ ˈpoɡa hi ˈkule dan ˈkado
